=== GEN.TTP Reloc Table ===
Format: fixup_index  .text_offset  value_before_reloc

[   0]  0x000020  value=0x0000B8BE
[   1]  0x000026  value=0x00009192
[   2]  0x000034  value=0x0000B65C
[   3]  0x000060  value=0x00009134
[   4]  0x0000A8  value=0x0000B956
[   5]  0x0000C6  value=0x0000BB64
[   6]  0x0000D0  value=0x0000BB50
[   7]  0x0000E2  value=0x0000BAF8
[   8]  0x0000F0  value=0x0000BB22
[   9]  0x0000FA  value=0x0000BBAA
[  10]  0x000110  value=0x00008F00
[  11]  0x000116  value=0x00004672
[  12]  0x000120  value=0x00010E3C
[  13]  0x00013A  value=0x00008904
[  14]  0x000144  value=0x00008F00
[  15]  0x000164  value=0x00008F00
[  16]  0x000180  value=0x00008F1E
[  17]  0x00018A  value=0x00008F12
[  18]  0x000198  value=0x0000BB50
[  19]  0x0001A0  value=0x0000BB22
[  20]  0x000208  value=0x0000BB64
[  21]  0x000222  value=0x00008F00
[  22]  0x00022E  value=0x00008F00
[  23]  0x0002B8  value=0x00008F00
[  24]  0x0002CC  value=0x0000BBFE
[  25]  0x000300  value=0x0000BB64
[  26]  0x00030A  value=0x0000BB50
[  27]  0x000310  value=0x0000BB22
[  28]  0x00031A  value=0x0000BBAA
[  29]  0x000328  value=0x00008904
[  30]  0x000330  value=0x0000853E
[  31]  0x000382  value=0x00009B12
[  32]  0x00038E  value=0x00008FE6
[  33]  0x00039A  value=0x00010C78
[  34]  0x0003A4  value=0x000091E4
[  35]  0x0003AA  value=0x00009B42
[  36]  0x0003B0  value=0x00008AC4
[  37]  0x0003C4  value=0x00008F12
[  38]  0x0003D0  value=0x00008F8A
[  39]  0x0003E2  value=0x00008F00
[  40]  0x0003F0  value=0x00008F8A
[  41]  0x0003F8  value=0x00008F00
[  42]  0x000402  value=0x00008F8A
[  43]  0x00040A  value=0x00008F00
[  44]  0x000410  value=0x00009718
[  45]  0x000428  value=0x00008F00
[  46]  0x000430  value=0x00008F00
[  47]  0x00043E  value=0x00008F8A
[  48]  0x000446  value=0x00008F00
[  49]  0x000452  value=0x00008F8A
[  50]  0x00045A  value=0x00008F00
[  51]  0x000460  value=0x000091F6
[  52]  0x000466  value=0x0000BC30
[  53]  0x000472  value=0x0000BFAE
[  54]  0x00047C  value=0x0000917E
[  55]  0x000482  value=0x0000BD0A
[  56]  0x000532  value=0x00008E08
[  57]  0x000580  value=0x00008556
[  58]  0x000590  value=0x00008AC4
[  59]  0x000598  value=0x00008B18
[  60]  0x00059E  value=0x000097BC
[  61]  0x00069A  value=0x0000853E
[  62]  0x0006C0  value=0x0000853E
[  63]  0x000786  value=0x00008A66
[  64]  0x0007A0  value=0x00008A70
[  65]  0x0007AA  value=0x0000853E
[  66]  0x0007DC  value=0x0000BF68
[  67]  0x000880  value=0x00009146
[  68]  0x0008E0  value=0x00008B8C
[  69]  0x0008EC  value=0x00008B8C
[  70]  0x000980  value=0x00008BC2
[  71]  0x000990  value=0x00008BC2
[  72]  0x0009E2  value=0x0000937C
[  73]  0x000A88  value=0x0000C328
[  74]  0x000A8E  value=0x0000DE12
[  75]  0x000A94  value=0x0000CB06
[  76]  0x000AFA  value=0x0000F11E
[  77]  0x000CA0  value=0x0000993A
[  78]  0x000CB8  value=0x0000993A
[  79]  0x000D08  value=0x00009134
[  80]  0x000D6C  value=0x00009134
[  81]  0x000D9E  value=0x00009134
[  82]  0x001862  value=0x0000B75C
[  83]  0x001A68  value=0x00009BB4
[  84]  0x001A76  value=0x00009C8C
[  85]  0x001B3E  value=0x00009BB4
[  86]  0x001B4A  value=0x00009C8C
[  87]  0x001B64  value=0x00009C2C
[  88]  0x001B92  value=0x00009C6C
[  89]  0x001BEC  value=0x00009BEC
[  90]  0x001C76  value=0x00009C4C
[  91]  0x001CC4  value=0x00009B94
[  92]  0x001D9E  value=0x00009B74
[  93]  0x001DBE  value=0x0000B75C
[  94]  0x002CA4  value=0x0000C03E
[  95]  0x002E78  value=0x0000BF9A
[  96]  0x002EDA  value=0x0000BFB2
[  97]  0x002EFC  value=0x0000BFAE
[  98]  0x00854C  value=0x0000039E
[  99]  0x0088FA  value=0x00000BC8
[ 100]  0x008938  value=0x00000D60
[ 101]  0x00896A  value=0x00010E38
[ 102]  0x00905A  value=0x000006BC
[ 103]  0x0099CC  value=0x0000853E
[ 104]  0x009D6A  value=0x0000175A
[ 105]  0x00BB30  value=0x00003B4A
[ 106]  0x00BB56  value=0x00003B4A
[ 107]  0x00BB6E  value=0x00003B4A
[ 108]  0x00C324  value=0x0000C324
[ 109]  0x010910  value=0x0000852A
[ 110]  0x010918  value=0x00008660
[ 111]  0x0109A2  value=0x0000175A
[ 112]  0x010A06  value=0x000088EA
[ 113]  0x010CB0  value=0x00009146
[ 114]  0x010CF8  value=0x000084F2
[ 115]  0x010E58  value=0x000046BE
[ 116]  0x010E68  value=0x0000BF9A
[ 117]  0x010E76  value=0x00009146
[ 118]  0x010EC4  value=0x00000BB8
[ 119]  0x010EF2  value=0x0000853E

Total fixups: 120
